2026-08-02T17:40:35.129Z GET /api/status 200 OK
2026-08-16T11:55:32.289Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-16T11:55:43.054Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-16T11:55:43.140Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-16T11:55:44.681Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-16T11:55:44.681Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-16T11:55:46.148Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-16T11:55:46.192Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-16T12:04:15.817Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-16T12:04:27.883Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-16T12:04:29.883Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
